-1,-1,-1,-1,-1,39,40,40,2,-1,-1,-1,-1,-1,-1,39,40,40,40,40,40,41,-1,-1,-1
-1,-1,0,1,1,92,14,14,91,2,-1,-1,-1,-1,-1,13,14,14,14,14,14,91,41,-1,-1
-1,-1,26,79,14,14,14,14,14,15,-1,-1,-1,-1,-1,26,79,14,14,14,14,14,91,41,-1
39,1,1,92,14,14,14,14,14,15,-1,-1,-1,-1,-1,-1,26,79,14,14,14,14,14,91,41
52,14,14,14,14,14,14,14,14,15,-1,-1,-1,-1,-1,-1,-1,52,14,14,14,14,14,14,54
52,14,14,14,14,14,14,14,14,15,-1,-1,-1,-1,-1,-1,0,92,14,14,14,14,14,14,54
52,14,14,14,14,14,14,14,14,54,-1,-1,-1,-1,-1,-1,26,79,14,14,14,14,14,14,54
52,14,14,14,14,14,14,14,14,91,41,-1,-1,-1,-1,-1,-1,26,79,14,14,14,14,14,54
52,14,14,14,14,14,14,14,14,14,91,2,-1,-1,-1,-1,-1,-1,13,14,14,14,14,14,54
52,14,14,14,14,14,14,14,14,78,27,28,-1,-1,-1,0,40,40,92,14,14,14,14,14,54
52,14,14,14,14,14,14,14,14,15,-1,-1,-1,-1,-1,13,14,14,14,14,14,14,14,14,54
52,14,14,14,14,14,14,14,14,15,-1,-1,-1,-1,-1,26,27,27,79,14,14,14,14,14,54
52,14,14,14,14,14,14,14,14,91,2,-1,-1,-1,-1,-1,-1,-1,13,14,14,14,14,14,54
52,14,14,14,14,14,14,14,14,14,-1,-1,-1,-1,-1,-1,-1,-1,92,14,14,14,14,14,54
52,14,14,14,14,14,14,14,14,14,35,4,4,4,4,4,4,38,14,14,14,14,14,14,54
52,14,14,14,14,14,14,14,14,78,48,30,30,30,30,30,30,51,14,14,14,14,14,14,54
52,14,14,14,14,14,78,27,27,28,-1,-1,-1,-1,-1,-1,-1,-1,79,14,14,14,14,14,54
65,27,27,79,14,14,91,41,-1,-1,-1,-1,-1,-1,-1,39,1,1,92,14,14,14,78,66,67
-1,-1,-1,26,79,14,14,91,40,40,40,2,-1,-1,39,92,14,14,14,78,66,66,67,-1,-1
-1,-1,-1,-1,65,66,66,66,66,66,66,67,-1,-1,65,66,66,66,66,67,-1,-1,-1,-1,-1
